title,url,time,like_num,read_num,share_num,comment_count
科技爱好者周刊#295：巧妙的灯泡钟,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650236572&idx=1&sn=eb3f033751a46b20ba285b7d3694d727&chksm=f2a3ab219bb1b75d6cd23d5de69c5783856dcfce37366f3bfe50ec8c82b5284ad3cfda478958&scene=27#wechat_redirect,2024-03-29 08:35:31,102,15236,307,65
2024最流行的网站架构——边缘平台架构：概念与产品,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650236484&idx=1&sn=8ab9d157efdb10f6caf19e63a4caf0a9&chksm=f21b78a89854a4a1987f9aad4300e38a8394dc5e821bb8f98ddc8b22d2294489083595066b4e&scene=27#wechat_redirect,2024-03-26 08:42:47,120,15437,413,32
科技爱好者周刊#294：崖门海战的感想,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650236441&idx=1&sn=55183449b0df5fdc045c121281e2d77e&chksm=f2c81ed4a41af169b5018c939fc715a7f9198a7dddd74c6b7f0ffbbcfe57e336441fc43777a4&scene=27#wechat_redirect,2024-03-22 08:33:51,118,17957,390,66
科技爱好者周刊#293：一周是一年的2%,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650236363&idx=1&sn=5ea048da6df714f6ad14e39d623c2135&chksm=f29c91964cc0106ed14a34ab262568befbc446a593ad0b9b796d62d1406452a48eea0fc4d48f&scene=27#wechat_redirect,2024-03-15 08:36:44,206,20062,619,57
科技爱好者周刊#292：所有代码都是技术债,http://mp.weixin.qq.com/s?__biz=MzI4NjAxNjY4Nw==&mid=2650236308&idx=1&sn=81f6aec0b144a1c37a99d695055c6f03&chksm=f27757fa32a0ec5a9781c78760ccf13b75fe7eedb8b736a91083c0152820bf992998252564b5&scene=27#wechat_redirect,2024-03-08 08:46:29,96,16006,488,59
